PLUCode,Name
4250,Bulk 3-pack (3 pints) Strawberries Berries
4251,Long-stemmed Strawberries Berries
4252,Retailer Assigned Berries
4253,Retailer Assigned Berries
4254,Breadfruit
4255,Cactus pear (prickly pear)
4256,Carambola (starfruit)
4257,Cherimoya
4258,Golden/Rainier/White Cherries
4259,Retailer Assigned Cherries
4260,In Husk/Waternut Coconuts
4261,Husked Coconuts
4262,Retailer Assigned Coconuts
4263,Fresh Dates
4264,Retailer Assigned Dates
4265,Feijoa
4266,Black Figs
4267,Brown Figs
4268,White/Green Figs
4269,Retailer Assigned Figs
4270,Blue/Black Seeded Grapes
4271,Champagne Grapes
4272,Concord Grapes
4273,Red Seeded Grapes
4274,White/Green Seeded Grapes
4275,Retailer Assigned Grapes
4276,Retailer Assigned Grapes
4277,Retailer Assigned Grapes
4278,Retailer Assigned Grapes
4279,Pummelo Grapefruit
4280,Small Ruby/Red/Pink Grapefruit
4281,Large Ruby/Red/Pink Grapefruit
4282,Large Ruby/Red/Pink Grapefruit
4283,Large Ruby/Red/Pink Grapefruit
4284,Small Deep Red Grapefruit
4285,Small Deep Red Grapefruit
4286,Sm Deep Red Grapefruit
4287,Large Deep Red Grapefruit
4288,Large Deep Red Grapefruit
4289,Lrg Deep Red Grapefruit
4290,Small White Grapefruit
4291,Small White Grapefruit
4292,Small White Grapefruit
4293,Large White Grapefruit
4294,Large White Grapefruit
4295,Large White Grapefruit
4296,Retailer Assigned Grapefruit
4297,Retailer Assigned Grapefruit
4298,Retailer Assigned Grapefruit
4299,Guava
4300,Homli fruit
4301,Retailer Assigned Kiwifruit
4302,Kiwano (horned melon)
4303,Kumquat
4304,Retailer Assigned Lemons
4305,Key (incl. Mexican & West Indian) Limes
4306,Retailer Assigned Limes
4307,Longan
4308,Loquats
4309,Lychees
4310,Mamey
4311,Small Green Mango
4312,Small Yellow Mango
4313,Retailer Assigned Mango
4314,Retailer Assigned Mango
4315,Retailer Assigned Mango
4316,Retailer Assigned Mango
4317,Canary/Yellow Honeydew Melon
4318,Small Cantaloupe/Muskmelon Melon
4319,Large Cantaloupe/Muskmelon Melon
4320,Casaba Melon
4321,Cinnabar Melon
4322,Crenshaw Melon
4323,Bulk Strawberries Berries
4324,French Afternoon Melon
4325,French Breakfast Melon
4326,Galia Melon
4327,Orange Flesh/Cantaline Melon
4328,Limequats
4329,Small Honeydew/White Honeydew Melon
4330,Mayan Melon
4331,Mickey Lee / Sugar Baby Watermelon
4332,Muskmelon Melon
4333,Pepino Melon
4334,Persian Melon
4335,Prince Melon
4336,Santa Claus Melon
4337,Saticoy Melon
4338,Sharlin Melon
4339,Spanish/Tendral Melon
4340,Yellow Seeded Watermelon
4341,Yellow Seedless Watermelon
4342,Retailer Assigned (includes pre-cut melons) Melon
4343,Retailer Assigned (includes pre-cut melons) Melon
4344,Retailer Assigned (includes pre-cut melons) Melon
4345,Retailer Assigned (includes pre-cut melons) Melon
4346,Retailer Assigned (includes pre-cut melons) Melon
4347,Retailer Assigned (includes pre-cut melons) Melon
4348,Retailer Assigned (includes pre-cut melons) Melon
4349,Retailer Assigned (includes pre-cut melons) Melon
4350,Retailer Assigned (includes pre-cut melons) Melon
4351,Retailer Assigned (includes pre-cut melons) Melon
4352,Retailer Assigned (includes pre-cut melons) Melon
4353,Retailer Assigned (includes pre-cut melons) Melon
4354,Retailer Assigned (includes pre-cut melons) Melon
4355,Retailer Assigned (includes pre-cut melons) Melon
4356,Retailer Assigned (includes pre-cut melons) Melon
4357,Retailer Assigned (includes pre-cut melons) Melon
4358,Retailer Assigned (includes pre-cut melons) Melon
4359,Retailer Assigned (includes pre-cut melons) Melon
4360,Retailer Assigned (includes pre-cut melons) Melon
4361,Retailer Assigned (includes pre-cut melons) Melon
4362,Retailer Assigned (includes pre-cut melons) Melon
4363,Retailer Assigned (includes pre-cut melons) Melon
4364,Retailer Assigned (includes pre-cut melons) Melon
4365,Retailer Assigned (includes pre-cut melons) Melon
4366,Retailer Assigned (includes pre-cut melons) Melon
4367,Retailer Assigned (includes pre-cut melons) Melon
4368,Retailer Assigned (includes pre-cut melons) Melon
4369,Retailer Assigned (includes pre-cut melons) Melon
4370,Retailer Assigned (includes pre-cut melons) Melon
4371,Retailer Assigned (includes pre-cut melons) Melon
4372,Retailer Assigned (includes pre-cut melons) Melon
4373,Retailer Assigned (includes pre-cut melons) Melon
4374,Retailer Assigned (includes pre-cut melons) Melon
4375,Retailer Assigned (includes pre-cut melons) Melon
4376,Retailer Assigned (includes pre-cut melons) Melon
4377,"Small Yellow Flesh, Tree Ripened, Ready-to-eat Nectarine"
4378,"Large Yellow Flesh, Tree Ripened, Ready-to-eat Nectarine"
4379,Retailer Assigned Nectarine
4380,Retailer Assigned Nectarine
4381,Blood Oranges
4382,Juice Oranges
4383,Minneola Tangelo
4384,Small Navel Oranges
4385,Large Navel Oranges
4386,Small Temple Oranges
4387,Large Temple Oranges
4388,Large Valencia Oranges
4388,Large Valencia Oranges
4389,Retailer Assigned Oranges
4390,Retailer Assigned Oranges
4391,Retailer Assigned Oranges
4392,Retailer Assigned Oranges
4393,Retailer Assigned Oranges
4394,Large Regular Papaya/pawpaw
4395,Cooking/Mexican Papaya/pawpaw
4396,Retailer Assigned Papaya/pawpaw
4397,Purple Passion fruit
4398,Retailer Assigned Passion fruit
4399,Indian Peaches
4400,Small White Flesh Peaches
4401,Large White Flesh Peaches
4402,Small Yellow Flesh Peaches
4403,Large Yellow Flesh Peaches
4404,Retailer Assigned Peaches
4405,Retailer Assigned Peaches
4406,Asian/Nashi Pears
4407,Asian/Nashi Pears
4408,Asian/Nashi Pears
4409,Large Bartlett/Williams/WBC Pears
4410,Bartlett Pears
4411,Small Bosc/Beurre Bosc Pears
4412,Large Bosc/Beurre Bosc Pears
4413,Large Bosc/Beurre Bosc Pears
4414,Comice/ Doyenne du Comice Pears
4415,Red Pears
4416,Large Anjou Pears
4417,Anjou Pears
4418,Forelle/Corella Pears
4419,French Pears
4420,King Royal Pears
4421,Packham/Packhams Triumph Pears
4422,Seckel Pears
4423,Tree Ripened Pears
4424,Winter Nelis/Honey Pears
4425,Retailer Assigned Pears
4426,Retailer Assigned Pears
4427,Regular (American Persimmon) Persimmon
4428,Japanese/Sharonfruit (Kaki) Persimmon
4429,Retailer Assigned Persimmon
4430,Large Pineapple
4431,Small Jet Fresh Pineapple
4432,Large Jet Fresh Pineapple
4433,Retailer Assigned Pineapple
4434,Small Green Plums
4435,Large Green Plums
4436,Italian Prune/Sugar Plums
4437,Small Purple Plums
4438,Large Purple Plums
4439,Small Tree Ripened Plums
4440,Large Tree Ripened Plums
4441,Small Yellow Plums
4442,Large Yellow Plums
4443,Retailer Assigned Plums
4444,Retailer Assigned Plums
4445,Small Pomegranate
4446,Retailer Assigned Pomegranate
4447,Quince
4448,Tamarindo
4449,Sunburst Tangerines/mandarins
4450,Clementine (includes Fortune) Tangerines/mandarins
4451,Dancy Tangerines/mandarins
4452,Fairchild Tangerines/mandarins
4453,Honey/Murcott Tangerines/mandarins
4454,Kinnow Tangerines/mandarins
4455,Mandarin/Royal Tangerines/mandarins
4456,Tangelo
4457,Retailer Assigned Tangerines/mandarins
4458,Retailer Assigned Tangerines/mandarins
4459,Jamaican Tangelo
4460,Retailer Assigned For use with all commodities
4461,Retailer Assigned For use with all commodities
4462,Retailer Assigned For use with all commodities
4463,Retailer Assigned For use with all commodities
4464,Retailer Assigned For use with all commodities
4465,Retailer Assigned For use with all commodities
4466,Retailer Assigned For use with all commodities
4467,Retailer Assigned For use with all commodities
4468,Retailer Assigned For use with all commodities
4469,Retailer Assigned For use with all commodities
4470,Salad bar
4471,Retailer Assigned Other fruits
4472,Retailer Assigned Other fruits
4473,Retailer Assigned Other fruits
4474,Retailer Assigned Other fruits
4475,Retailer Assigned Other fruits
4476,Retailer Assigned Other fruits
4477,Retailer Assigned Other fruits
4478,Retailer Assigned Other fruits
4479,Retailer Assigned Other fruits
4480,Retailer Assigned Other fruits
4481,Retailer Assigned Other fruits
4482,Retailer Assigned Other fruits
4483,Retailer Assigned Other fruits
4484,Retailer Assigned Other fruits
4485,Retailer Assigned Other fruits
4486,Retailer Assigned Other fruits
4487,Retailer Assigned Other fruits
4488,Retailer Assigned Other fruits
4489,Retailer Assigned Other fruits
4490,Retailer Assigned Other fruits
4491,X-Lrg Ruby/Red/Pink Grapefruit
4492,X-Lrg Ruby/Red/Pink Grapefruit
4493,X-Lrg Ruby/Red/Pink Grapefruit
4494,X-Lrg Deep Red Grapefruit
4495,X-Lrg Deep Red Grapefruit
4496,X-Lrg Deep Red Grapefruit
4497,Sugraone/Autumn Seedless Grapes
4498,White/Green Seedless Grapes
4499,Crimson/Majestic Grapes
4500,Retailer Assigned Other vegetables
4501,Retailer Assigned Other vegetables
4502,Retailer Assigned Other vegetables
4503,Retailer Assigned Other vegetables
4504,Retailer Assigned Other vegetables
4505,Retailer Assigned Other vegetables
4506,Retailer Assigned Other vegetables
4507,Retailer Assigned Other vegetables
4508,Retailer Assigned Other vegetables
4509,Retailer Assigned Other vegetables
4510,Retailer Assigned Other vegetables
4511,Retailer Assigned Other vegetables
4512,Retailer Assigned Other vegetables
4513,Retailer Assigned Other vegetables
4514,Alfalfa sprouts
4515,Florence/Sweet Fennel/Fennel Bulb Fennel
4516,Small Artichokes
4517,Small Purple Artichokes
4518,Large Purple Artichokes
4519,Baby/Cocktail Artichokes
4520,Retailer Assigned Artichokes
4521,Large Green Asparagus
4522,Small White Asparagus
4523,Large White Asparagus
4524,Tips Asparagus
4525,Retailer Assigned Asparagus
4526,Retailer Assigned Asparagus
4527,Chinese Long/Snake Beans
4528,Fava/Broad Beans
4529,Lima Beans
4530,Pole/Runner/Stick Beans
4531,Purple Hull Beans
4532,Shell Beans
4533,Wax/Yellow Beans
4534,Winged Beans
4535,Retailer Assigned Beans
4536,Mung Bean Sprouts Bean sprouts
4537,Baby Golden Beets
4538,Baby Red Beets
4539,Bunch Beets
4540,Loose Beets
4541,Retailer Assigned Beets
4542,Beet greens
4543,Belgian endive (witloof chicory)
4544,Small/Baby Bok choy (pak choi)
4545,Bok choy (pak choi)
4546,See also SWEET POTATO Boniato
4547,Broccoli Rabe (Italian Rapini)/ Chinese Broccoli (GAI LAN) Broccoli
4548,Florettes Broccoli
4549,Retailer Assigned Broccoli
4550,Brussels sprouts
4551,Retailer Assigned Brussels sprouts
4552,Chinese/Napa/Wong Bok Cabbage
4553,Taylors Gold Pears
4554,Red Cabbage
4555,"Savoy, Green Cabbage"
4556,Retailer Assigned Cabbage
4557,Retailer Assigned Cabbage
4558,Cactus leaves (nopales/cactus pads)
4559,Cardoon (cardoni)
4560,Baby Carrots
4561,French Carrots
4562,Loose Carrots
4563,Carrot Sticks Carrots
4564,Retailer Assigned Carrots
4565,Retailer Assigned Carrots
4566,Florettes Cauliflower
4567,Green Cauliflower
4568,Purple Cauliflower
4569,Retailer Assigned Cauliflower
4570,Retailer Assigned Cauliflower
4571,Retailer Assigned Cauliflower
4572,Large Cauliflower
4573,Baby Cauliflower
4575,Hearts Celery
4576,Celery Sticks Celery
4577,Retailer Assigned Celery
4578,Retailer Assigned Celery
4579,Retailer Assigned Celery
4580,Retailer Assigned Celery
4581,Retailer Assigned Celery
4582,Large Bunch Celery
4583,Large Bunch Celery
4584,Large Green Mango
4585,Celery root/celeriac
4586,Green Chard (swiss chard)/silverbeet
4587,Red Chard (swiss chard)/silverbeet
4588,Retailer Assigned Chard (swiss chard)/silverbeet
4589,"Sweet Corn, Baby Corn"
4590,"Sweet Corn, Bi-Color Corn"
4591,Retailer Assigned Corn
4592,Armenian Cucumber
4593,English/Hot House/Long Seedless/Telegraph/Continental Cucumber
4594,Japanese/White Cucumber
4595,Lemon Cucumber
4596,Pickling/Gherkin Cucumber
4597,Retailer Assigned Cucumber
4598,(See also RADISH) Daikon
4599,Baby Eggplant (aubergine)
4600,Baby White Eggplant (aubergine)
4601,Japanese Eggplant (aubergine)
4602,White Eggplant (aubergine)
4603,Retailer Assigned Eggplant (aubergine)
4604,Endive/chicory
4605,Green Escarole/batavian chicory
4606,Fiddlehead ferns
4607,Gai (gui) choy (chinese or indian mustard)
4608,Regular Garlic
4609,Elephant Garlic
4610,Retailer Assigned Garlic
4611,Retailer Assigned Garlic
4612,Regular Ginger root
4613,Retailer Assigned Ginger root
4614,Collard Greens
4615,Dandelion Greens
4616,Mustard Greens
4617,Polk Greens Greens
4618,Texas Mustard Greens
4619,Turnip Greens
4620,Retailer Assigned Greens
4621,Retailer Assigned Greens
4622,Retailer Assigned Greens
4623,Retailer Assigned Greens
4624,Retailer Assigned Greens
4625,Horseradish root
4626,Jicama/yam bean
4627,Kale
4628,Kohlrabi
4629,Regular Leeks
4630,Baby Leeks
4631,Bibb/Flat/Round Lettuce
4632,Boston/Butter Lettuce
4633,Hydroponic Lettuce
4634,Iceberg Lettuce
4635,Red Seedless Grapes
4636,Red Globe Grapes
4637,Red Seeded Grapes
4638,Fantasy/Marroo Grapes
4639,Mache Lettuce
4640,Romaine/Cos Lettuce
4641,Retailer Assigned Lettuce
4642,Retailer Assigned Lettuce
4643,Retailer Assigned Lettuce
4644,Malanga
4645,"Small Regular, Button Mushrooms"
4646,Black Forest Mushrooms
4647,Chanterelle Mushrooms
4648,Cremini/Brown/Swiss Brown Mushrooms
4649,Oyster Mushrooms
4650,Portabella Mushrooms
4651,Shiitake Mushrooms
4652,Wood Ear Mushrooms
4653,Retailer Assigned Mushrooms
4654,Retailer Assigned Mushrooms
4655,Regular (Green) Okra
4656,Chinese Okra
4657,Red Okra
4658,Boiling Onions
4659,Bulb Onions
4660,Pearl Onions
4661,"Pickling, White Onions"
4662,Shallots Onions
4663,White Onions
4664,Regular Tomatoes
4665,Small Yellow/Brown Onions
4666,Retailer Assigned Onions
4667,Retailer Assigned Onions
4668,Retailer Assigned Onions
4669,Retailer Assigned Onions
4670,Retailer Assigned Onions
4671,Parsley root(hamburg parsley)
4672,Parsnip
4673,Blackeyed Peas
4674,Green Peas
4675,Sugar Snap Peas
4676,Retailer Assigned Peas
4677,Anaheim (Green and Red) Peppers (capsicums)
4678,Banana (Yellow Long) Peppers (capsicums)
4679,"Bell, Field Grown Peppers (capsicums)"
4680,"Bell, Field Grown Peppers (capsicums)"
4681,"Small Bell, Field Grown Peppers (capsicums)"
4682,"Bell, Field Grown Peppers (capsicums)"
4683,"Bell, Field Grown Peppers (capsicums)"
4684,"Bell, Field Grown Peppers (capsicums)"
4685,Chili Peppers (capsicums)
4686,Chili Peppers (capsicums)
4687,Cubanelle Peppers (capsicums)
4688,"Bell, Greenhouse Peppers (capsicums)"
4689,"Bell, Greenhouse Peppers (capsicums)"
4690,Hot (Hungarian Hot) Peppers (capsicums)
4691,Hot Mixed Peppers (capsicums)
4692,Hungarian Wax Peppers (capsicums)
4693,Jalapeno Peppers (capsicums)
4694,Jalapeno Peppers (capsicums)
4695,Japanese Peppers (capsicums)
4696,Long Hot Peppers (capsicums)
4697,Long Hot Peppers (capsicums)
4698,Morita Chili Peppers (capsicums)
4699,Negro Peppers (capsicums)
4700,New Mexico Peppers (capsicums)
4701,Pasilla Peppers (capsicums)
4702,Pasilla Peppers (capsicums)
4703,Pasilla Pod Peppers (capsicums)
4704,Pinole Peppers (capsicums)
4705,Poblano Peppers (capsicums)
4706,Red Cheese Peppers (capsicums)
4707,Red Finger Peppers (capsicums)
4708,Red Pimiento/ Red Sweet Long Peppers (capsicums)
4709,Serrano Peppers (capsicums)
4710,Retailer Assigned Peppers (capsicums)
4711,Retailer Assigned Peppers (capsicums)
4712,Retailer Assigned Peppers (capsicums)
4713,Retailer Assigned Peppers (capsicums)
4714,Retailer Assigned Peppers (capsicums)
4715,Retailer Assigned Peppers (capsicums)
4716,Retailer Assigned Peppers (capsicums)
4717,Retailer Assigned Peppers (capsicums)
4718,Retailer Assigned Peppers (capsicums)
4719,Retailer Assigned Peppers (capsicums)
4720,Retailer Assigned Peppers (capsicums)
4721,Retailer Assigned Peppers (capsicums)
4722,Retailer Assigned Peppers (capsicums)
4723,Creamer Potato
4724,Creamer Potato
4725,Russet Potato
4726,Long Potato
4727,Yellow Potato
4728,Retailer Assigned Potato
4729,Retailer Assigned Potato
4730,Retailer Assigned Potato
4731,Retailer Assigned Potato
4732,Retailer Assigned Potato
4733,Retailer Assigned Potato
4734,Mini Pumpkin
4735,Regular Pumpkin
4736,Retailer Assigned Pumpkin
4737,Retailer Assigned Pumpkin
4738,Radicchio
4739,Black Radish
4740,Bunched White Radish
4741,Italian Red Radish
4742,Red Radish
4743,White/Icicle Radish
4744,Retailer Assigned Radish
4745,Regular Rhubarb
4746,Retailer Assigned Rhubarb
4747,Regular Rutabagas (swede)
4748,Retailer Assigned Rutabagas (swede)
4749,Retailer Assigned Spinach
4750,Acorn/Table Queen Squash
4751,Acorn Squash
4752,Acorn Squash
4753,Australian Blue Squash
4754,Baby Scallopini Squash
4755,Baby Summer (Green) Squash
4756,Baby Green Zucchini/Courgette Squash
4757,Banana Squash
4758,Buttercup Squash
4759,Butternut Squash
4760,Calabaza Squash
4761,Chayote/Choko Squash
4762,Extra Large Artichokes
4763,Delicata/Sweet Potato Squash
4764,(Sweet) Dumpling Squash
4765,Gem Squash
4766,Golden Delicious Squash
4767,Golden Nugget Squash
4768,Hubbard Squash
4769,Kabocha Squash
4770,Extra Large Hass Avocados
4771,Medium Green Avocados
4772,Chili Peppers (capsicums)
4773,Patty Pan/Summer Squash
4774,Red Kuri Squash
4775,Scallopini Squash
4776,Spaghetti/Vegetable Spaghetti Squash
4777,Sunburst (Yellow) Squash
4778,Regular Tomatoes
4779,Sweet Mama Squash
4780,Turban Squash
4781,White Squash
4782,Yellow Squash
4783,"Foo Qua Bitter melon/bitter gourd, foo qua"
4784,Yellow Squash
4785,Retailer Assigned Squash
4786,Retailer Assigned Squash
4787,Retailer Assigned Squash
4788,Retailer Assigned Squash
4789,Retailer Assigned Squash
4790,Sugar cane
4791,Sunchokes (jerusalem artichokes)
4792,Golden Tamarillo
4793,Red Tamarillo
4794,Small Taro root (dasheen)
4795,Large Taro root (dasheen)
4796,Cherry Tomatoes
4797,Cherry Tomatoes
4798,Small Greenhouse/Hydroponic/Regular Tomatoes
4799,Large Greenhouse/Hydroponic/Regular Tomatoes
4800,Native/Home Grown Tomatoes
4801,Tomatillos/Husk Tomatoes Tomatoes
4802,Dried Tomatoes
4803,Teardrop/Pear Tomatoes
4804,Teardrop/Pear Tomatoes
4805,"Small Vine Ripe, Regular Tomatoes"
4806,Retailer Assigned Tomatoes
4807,Retailer Assigned Tomatoes
4808,Retailer Assigned Tomatoes
4809,Baby Turnip
4810,Bunch/Banded Turnip
4811,Purple Top Turnip
4812,White Turnip
4813,Retailer Assigned Turnip
4814,Water chestnuts
4815,Watercress
4816,Golden Sweet potato/yam/kumara
4817,Large Red/Orangy Red Flesh Sweet potato/yam/kumara
4818,Retailer Assigned Name
4819,Yuca root/cassava/manioc
4820,Retailer Assigned Other vegetables
4821,Retailer Assigned Other vegetables
4822,Retailer Assigned Other vegetables
4823,Retailer Assigned Other vegetables
4824,Retailer Assigned Other vegetables
4825,Retailer Assigned Other vegetables
4826,Retailer Assigned Other vegetables
4827,Retailer Assigned Other vegetables
4828,Retailer Assigned Other vegetables
4829,Retailer Assigned Other vegetables
4830,Retailer Assigned Other vegetables
4831,Retailer Assigned Other vegetables
4832,Retailer Assigned Other vegetables
4833,Retailer Assigned Other vegetables
4834,Retailer Assigned Other vegetables
4835,Retailer Assigned Other vegetables
4836,Retailer Assigned Other vegetables
4837,Retailer Assigned Other vegetables
4838,Retailer Assigned Other vegetables
4839,Retailer Assigned Other vegetables
4840,Retailer Assigned Other vegetables
4841,Retailer Assigned Other vegetables
4842,Retailer Assigned Other vegetables
4843,Retailer Assigned Other vegetables
4844,Retailer Assigned Other vegetables
4845,Retailer Assigned Other vegetables
4846,Retailer Assigned Other vegetables
4847,Retailer Assigned Other vegetables
4848,Retailer Assigned Other vegetables
4849,Retailer Assigned Other vegetables
4850,Retailer Assigned Other vegetables
4851,Retailer Assigned Other vegetables
4852,Retailer Assigned Other vegetables
4853,Retailer Assigned Other vegetables
4854,Retailer Assigned Other vegetables
4855,Retailer Assigned Other vegetables
4856,Retailer Assigned Other vegetables
4857,Retailer Assigned Other vegetables
4858,Retailer Assigned Other vegetables
4859,Retailer Assigned Other vegetables
4860,(Dried Fruit) Apple slices
4861,(Dried Fruit) Apricots
4862,(Dried Fruit) Dates
4863,Retailer Assigned Dates
4864,(Dried Fruit) Pineapple
4865,Regular Prunes
4866,Pitted Prunes
4867,Retailer Assigned Prunes
4868,Black Raisins
4869,Golden/Yellow Raisins
4870,Retailer Assigned Other dried fruits
4871,Retailer Assigned Other dried fruits
4872,Retailer Assigned Other dried fruits
4873,Retailer Assigned Other dried fruits
4874,Retailer Assigned Other dried fruits
4875,Retailer Assigned Other dried fruits
4876,Retailer Assigned Other dried fruits
4877,Retailer Assigned Other dried fruits
4878,Retailer Assigned Other dried fruits
4879,Retailer Assigned Other dried fruits
4880,Retailer Assigned Other dried fruits
4881,Retailer Assigned Other dried fruits
4882,Retailer Assigned Other dried fruits
4883,Retailer Assigned Other dried fruits
4884,Arugula/rocket
4885,Basil
4886,Opal Basil
4887,Sweet Basil
4888,Chives
4889,Cilantro (chinese parsley/coriander)
4890,Chinese Yali Pears
4891,Dill
4892,Baby Dill
4893,Pickling Dill
4894,Lemongrass
4895,Marjoram
4896,Mint
4897,Oregano
4898,Oyster plant/salsify
4899,Regular/Curly Parsley
4901,Italian/Continental/French Parsley
4902,Retailer Assigned Parsley
4903,Rosemary
4904,Sage
4905,Sorrel
4906,Tarragon
4907,Thyme
4908,Vanilla bean
4909,Retailer Assigned Other herbs
4910,Retailer Assigned Other herbs
4911,Retailer Assigned Other herbs
4912,Retailer Assigned Other herbs
4913,Retailer Assigned Other herbs
4914,Retailer Assigned Other herbs
4915,Retailer Assigned Other herbs
4916,Retailer Assigned Other herbs
4917,Retailer Assigned Other herbs
4918,Retailer Assigned Other herbs
4919,Retailer Assigned Other herbs
4920,Retailer Assigned Other herbs
4921,Retailer Assigned Other herbs
4922,Retailer Assigned Other herbs
4923,Retailer Assigned Other herbs
4924,Almonds
4925,Retailer Assigned Almonds
4926,Brazilnuts
4927,Chestnuts
4928,Cobnut/Hazelnut Filberts
4929,Mixed nuts
4930,Peanuts
4931,Raw Peanuts
4932,Roasted Peanuts
4933,Roasted Peanuts
4934,Retailer Assigned Peanuts
4935,Retailer Assigned Peanuts
4936,Pecans
4937,Retailer Assigned Pecans
4938,Pine nuts (pignoli)
4939,Natural Pistachio
4940,Red Pistachio
4941,Retailer Assigned Pistachio
4942,Sunflower seeds
4943,Regular Walnuts
4944,Black Walnuts
4945,White Walnuts
4946,Retailer Assigned Walnuts
4947,Retailer Assigned Other nuts
4948,Retailer Assigned Other nuts
4949,Retailer Assigned Other nuts
4950,Retailer Assigned Pears
4951,Retailer Assigned Other nuts
4952,Retailer Assigned Other nuts
4953,Retailer Assigned Other nuts
4954,Retailer Assigned Other nuts
4955,Retailer Assigned Other nuts
4956,Retailer Assigned Other nuts
4957,Blue/Black Seeded Grapes
4958,Medium Lemons
4959,Large Red Mango
4960,Fragrant Pears
4961,Large Yellow Mango